"양구군",10412,10403,10392,10387
"인제군",16604,16586,16599,16597
"고성군",15324,15314,15317,15336
"양양군",14913,14920,14924,14949
"충청북도",795498,796183,797797,798233
"청주시",409351,409538,409218,409626
"상당구",89381,89305,89179,89237
"서원구",89174,89484,89521,89638
"흥덕구",139911,139942,139909,140067
"청원구",90885,90807,90609,90684
"충주시",104568,104563,104470,104343
"제천시",66299,66399,66373,66280
"보은군",16791,16793,16902,16947
"옥천군",25748,25801,26171,26319
"영동군",23591,23568,23659,23703
"증평군",19097,19119,18968,18970
"진천군",43013,42985,43425,43236
"괴산군",21245,21232,22117,22100
"음성군",50546,50933,51270,51497
"단양군",15249,15252,15224,15212
"충청남도",1061879,1062153,1062282,1062477
"천안시",317655,317851,317941,318012
"동남구",127465,127627,127570,127521
"서북구",190190,190224,190371,190491
"공주시",53805,53785,53661,53464
"보령시",48989,48913,48882,48819
"아산시",167941,168041,168205,168576
"서산시",84234,84205,84117,84135
"논산시",57077,57039,56990,56943
"계룡시",19536,19528,19525,19558
"당진시",86099,86081,86085,86085
"금산군",26653,26643,26654,26611
"부여군",32139,32125,32080,32041
"서천군",26170,26132,26129,26134
"청양군",16640,16834,16898,16853
"홍성군",50277,50354,50496,50656
"예산군",41239,41221,41198,41194
"태안군",33425,33401,33421,33396
"전북특별자치도",868091,868085,868116,868328
"전주시",297022,296778,296468,296276
"완산구",152888,152809,152662,152534
"덕진구",144134,143969,143806,143742
"군산시",126051,126090,126059,126071
"익산시",132589,132621,132645,132740
"정읍시",54285,54234,54386,54459
"남원시",39872,39822,39778,39821
"김제시",44364,44424,44463,44564
"완주군",50270,50275,50263,50258
"진안군",13781,13803,13812,13834
"무주군",13010,13000,13009,13022
"장수군",11510,11539,11732,11771
"임실군",14802,14792,14796,14814
"순창군",14768,14971,15030,15001
"고창군",28483,28456,28425,28402
"부안군",27284,27280,27250,27295
"전라남도",913613,913307,913284,913289
"목포시",103162,102750,102623,102503
"여수시",127650,127537,127406,127358
"순천시",127725,127820,127713,127588
"나주시",60239,60192,60162,60143
"광양시",73269,73263,73307,73530
"담양군",23992,23959,23941,23905
"곡성군",15591,15642,15844,15896
"구례군",13420,13417,13423,13437
"고흥군",35101,35085,35082,35068
"보성군",21664,21642,21694,21769
"화순군",31608,31606,31606,31602
"장흥군",19678,19679,19681,19674
"강진군",18102,18132,18117,18117
"해남군",34371,34365,34369,34395
"영암군",28364,28352,28342,28378
"무안군",46406,46377,46419,46439
"함평군",17635,17625,17579,17544
"영광군",28489,28501,28579,28639
"장성군",23537,23540,23534,23526
"완도군",25124,25102,25091,25065
"진도군",16351,16352,16342,16326
"신안군",22135,22369,22430,22387
"경상북도",1296440,1296432,1295685,1295172
"포항시",238324,238489,238639,238822
"남구",108979,108792,108623,108591
"북구",129345,129697,130016,130231
"경주시",126465,126487,126452,126453
"김천시",69215,69189,69098,68931
"안동시",81176,81168,80964,80719
"구미시",192995,193095,193084,193208
"영주시",51287,51217,51283,51301
"영천시",54047,54017,53903,53800
"상주시",48866,48833,48776,48739
"문경시",36182,36156,36039,36022
"경산시",132377,132274,131848,131642
"의성군",29051,29033,29065,29045
"청송군",13968,13937,13934,13907
"영양군",9012,9111,9142,9175
"영덕군",19438,19395,19389,19359
"청도군",23477,23486,23511,23551
"고령군",17285,17291,17343,17351
"성주군",23964,23973,23950,23937
"칠곡군",53515,53505,53506,53479
"예천군",27994,27981,27980,28004
"봉화군",16490,16510,16502,16465
"울진군",25809,25809,25814,25800
"울릉군",5503,5476,5463,5462
"경상남도",1547631,1547984,1548615,1549092
"창원시",462302,462161,462257,462345
"의창구",97836,97685,97655,97619
"성산구",109094,109416,109601,109777
"마산합포구",86659,86591,86635,86614
"마산회원구",83187,83038,82902,82863
"진해구",85526,85431,85464,85472
"진주시",162372,162265,162183,161972
"통영시",59285,59253,59252,59208
"사천시",56006,55988,56028,56098
"사천남양출장소",0,0,0,0
"김해시",238276,238448,238676,238952
"장유출장소",0,0,0,0
"밀양시",54060,54099,54109,54083
"거제시",107010,107037,107012,107000
"양산시",165446,165652,165890,166091
"양산시웅상출장소",0,0,0,0
"의령군",14772,14778,14793,14795
"함안군",29953,29923,29912,29926
"창녕군",31683,31706,31769,31872
"고성군",26336,26316,26339,26328
"남해군",22245,22572,22755,22823
"하동군",23295,23267,23252,23278
"산청군",19599,19566,19556,19563
"함양군",20285,20271,20242,20226
"거창군",31265,31250,31183,31132
"합천군",23441,23432,23407,23400
"제주특별자치도",315408,315343,315462,315328
"제주시",226604,226581,226663,226634
"서귀포시",88804,88762,88799,88694
