iter	MultiClass
0	0.6464193803
1	0.4681361085
2	0.3539951974
3	0.2816489712
4	0.2469850293
5	0.2184112273
6	0.1904939513
7	0.1700201414
8	0.1613985647
9	0.1481910025
10	0.1380669332
11	0.1300346398
12	0.1203804492
13	0.111147384
14	0.1050927997
15	0.09841705399
16	0.09600947689
17	0.08861154825
18	0.08336236382
19	0.07779026239
20	0.07435995353
21	0.07280538596
22	0.07047543014
23	0.06826167246
24	0.06636306376
25	0.06566093098
26	0.06449131668
27	0.06391638352
28	0.06184865183
29	0.05881994487
30	0.05644124191
31	0.05517943742
32	0.05229405125
33	0.05082904599
34	0.05044097231
35	0.04990973446
36	0.04878450475
37	0.04732359384
38	0.04700479631
39	0.04530881286
40	0.04453050187
41	0.04354921676
42	0.04270106342
43	0.04132662985
44	0.0399270906
45	0.03918219963
46	0.03870693842
47	0.0381018818
48	0.03731091479
49	0.03660903863
50	0.03558063276
51	0.03544236237
52	0.03491433708
53	0.03432462068
54	0.03305934195
55	0.03263747054
56	0.0324532674
57	0.03156812552
58	0.03088592101
59	0.02950192735
60	0.02869686754
61	0.02807183651
62	0.02740977203
63	0.02706529823
64	0.02634051642
65	0.02576523728
66	0.02528977241
67	0.02462687641
68	0.02416584468
69	0.02371170717
70	0.02295158766
71	0.0225560107
72	0.02212049935
73	0.02185051327
74	0.02161631669
75	0.02148722104
76	0.02107060742
77	0.02090309265
78	0.02062785861
79	0.02042851222
80	0.02025444075
81	0.02012492726
82	0.0200567855
83	0.01980285566
84	0.01939713542
85	0.0191340916
86	0.0183215625
87	0.01822839449
88	0.01768838924
89	0.01726458192
90	0.01697282656
91	0.01686479623
92	0.01652167328
93	0.01634057122
94	0.01616041371
95	0.01594859127
96	0.01588330347
97	0.01562464515
98	0.01554487806
99	0.01541822729
